TimelineLabel,name,bins,countMutations
Aug-24,aa.geqpt01,Rest,0
Aug-24,aa.geqpt1,Rest,0
Aug-24,nt.geq1,Rest,0
Aug-24,nt.geqpt01,Rest,0
Aug-24,nt.geqpt1,Rest,0
Sep-24,aa.geq1,Rest,0
Sep-24,aa.geqpt01,Rest,0
Sep-24,aa.geqpt1,Rest,0
Sep-24,nt.geq1,Rest,0
Sep-24,nt.geqpt01,Rest,0
Sep-24,nt.geqpt1,Rest,0
Oct-24,aa.geq1,Rest,0
Oct-24,aa.geqpt01,Rest,1
Oct-24,aa.geqpt1,Rest,0
Oct-24,nt.geq1,Rest,0
Oct-24,nt.geqpt01,Rest,0
Oct-24,nt.geqpt1,Rest,0
Nov-24,aa.geq1,Rest,0
Nov-24,aa.geqpt01,Rest,0
Nov-24,aa.geqpt1,Rest,0
Nov-24,nt.geq1,Rest,0
Nov-24,nt.geqpt01,Rest,0
Nov-24,nt.geqpt1,Rest,0
Dec-24,aa.geq1,Rest,0
Dec-24,aa.geqpt01,Rest,0
Dec-24,aa.geqpt1,Rest,0
Dec-24,nt.geq1,Rest,0
Dec-24,nt.geqpt01,Rest,0
Dec-24,nt.geqpt1,Rest,0
Jan-25,aa.geq1,Rest,0
Jan-25,aa.geqpt01,Rest,0
Jan-25,aa.geqpt1,Rest,0
Jan-25,nt.geq1,Rest,0
Jan-25,nt.geqpt01,Rest,0
Jan-25,nt.geqpt1,Rest,0
Feb-25,aa.geq1,Rest,0
Feb-25,aa.geqpt01,Rest,0
Feb-25,aa.geqpt1,Rest,0
Feb-25,nt.geq1,Rest,0
Feb-25,nt.geqpt01,Rest,0
Feb-25,nt.geqpt1,Rest,0
Mar-25,aa.geq1,Rest,0
Mar-25,aa.geqpt01,Rest,0
Mar-25,aa.geqpt1,Rest,0
Mar-25,nt.geq1,Rest,0
Mar-25,nt.geqpt01,Rest,0
Mar-25,nt.geqpt1,Rest,0
Apr-25,aa.geq1,Rest,0
Apr-25,aa.geqpt01,Rest,0
Apr-25,aa.geqpt1,Rest,0
Apr-25,nt.geq1,Rest,0
Apr-25,nt.geqpt01,Rest,0
Apr-25,nt.geqpt1,Rest,0
May-25,aa.geq1,Rest,0
May-25,aa.geqpt01,Rest,0
May-25,aa.geqpt1,Rest,0
May-25,nt.geq1,Rest,0
May-25,nt.geqpt01,Rest,0
May-25,nt.geqpt1,Rest,0
Jun-25,aa.geq1,Rest,0
Jun-25,aa.geqpt01,Rest,0
Jun-25,aa.geqpt1,Rest,0
Jun-25,nt.geq1,Rest,0
Jun-25,nt.geqpt01,Rest,0
Jun-25,nt.geqpt1,Rest,0
Jul-25,aa.geq1,Rest,0
Jul-25,aa.geqpt01,Rest,0
Jul-25,aa.geqpt1,Rest,0
Jul-25,nt.geq1,Rest,0
Jul-25,nt.geqpt01,Rest,0
Jul-25,nt.geqpt1,Rest,0
Aug-25,aa.geq1,Rest,0
Aug-25,aa.geqpt01,Rest,0
Aug-25,aa.geqpt1,Rest,0
Aug-25,nt.geq1,Rest,0
Aug-25,nt.geqpt01,Rest,0
Aug-25,nt.geqpt1,Rest,0
Sep-25,aa.geq1,Rest,0
Sep-25,aa.geqpt01,Rest,0
Sep-25,aa.geqpt1,Rest,0
Sep-25,nt.geq1,Rest,0
Sep-25,nt.geqpt01,Rest,0
Sep-25,nt.geqpt1,Rest,0
Oct-25,aa.geq1,Rest,0
Oct-25,aa.geqpt01,Rest,0
Oct-25,aa.geqpt1,Rest,0
Oct-25,nt.geq1,Rest,0
Oct-25,nt.geqpt01,Rest,0
Oct-25,nt.geqpt1,Rest,0
Nov-25,aa.geq1,Rest,0
Nov-25,aa.geqpt01,Rest,0
Nov-25,aa.geqpt1,Rest,0
Nov-25,nt.geq1,Rest,0
Nov-25,nt.geqpt01,Rest,0
Nov-25,nt.geqpt1,Rest,0
Dec-25,aa.geq1,Rest,0
Dec-25,aa.geqpt01,Rest,0
Dec-25,aa.geqpt1,Rest,0
Dec-25,nt.geq1,Rest,0
Dec-25,nt.geqpt01,Rest,0
Dec-25,nt.geqpt1,Rest,0
